QtySold,SSFlagged,PromoFlagged,YrWeek,Date,FamilyHoliday,Season,Description,Department,Category,Lifestyle1,Lifestyle2,UPC_14
157,0,0,201637,9/10/2016,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
157,0,0,201705,2/4/2017,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
157,0,0,201728,7/15/2017,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
157,0,1,201738,9/23/2017,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
156,0,1,201701,1/7/2017,1,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
154,0,1,201802,1/13/2018,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
153,0,0,201742,10/21/2017,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
153,0,1,201707,2/18/2017,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
152,0,1,201614,4/2/2016,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
151,0,1,201609,2/27/2016,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
150,0,0,201643,10/22/2016,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
150,0,0,201650,12/10/2016,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
150,0,1,201741,10/14/2017,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
149,0,1,201708,2/25/2017,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
146,0,0,201646,11/12/2016,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
144,0,1,201641,10/8/2016,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
142,0,1,201644,10/29/2016,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
141,0,0,201642,10/15/2016,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
140,0,1,201616,4/16/2016,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
139,0,1,201740,10/7/2017,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
138,0,1,201709,3/4/2017,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
137,0,0,201702,1/14/2017,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
131,0,0,201649,12/3/2016,1,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
123,0,1,201706,2/11/2017,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
118,0,1,201712,3/25/2017,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
116,0,0,201704,1/28/2017,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
