Amazon,Apple,Ebay,Facebook,Google,Twitter
-0.010151032,-0.010522154,0.00457466,-0.001455637,0.001654457,-0.010781156
0.021070381,-0.003253739,0.00052448,-0.000546625,0.007157209,-0.00248568
0.008481124,0.007643305,-0.001751555,-0.001276249,-0.001457704,-0.004408655
0.013120198,0.004266758,0.005788931,-0.001582053,0.000912409,-0.006160949
0.020216728,-0.001966955,-0.00697385,0.011823515,0.000182271,-0.008136346
-0.007136225,-0.004335794,0.000175256,0.006083571,-0.01604081,0.001953095
0.00323577,0.003800441,0.001143184,-0.009698827,0.002223068,0.014230011
-0.004738419,-0.004811489,0.000350051,-0.004776063,0.004621072,-0.026330943
-0.005055586,-0.011254642,-0.021828974,-0.018648962,-0.019871183,0.014607218
-0.022515161,0.022845679,0.005016854,0.028659793,0.022151281,-0.001556456
0.028660755,-0.005407483,0.006152857,0.006378703,-0.002938431,0.007989085
0.009362411,0.013474048,0.005938424,0.012078384,0.011604324,-0.00618596
-0.003090939,0.008163607,0.037710159,-0.026231758,0.015112869,-0.011476369
-0.007835515,0.004704254,0.005265207,-0.010678375,0.029058318,0.016528929
0.153503878,0.01819155,-0.001858279,0.004660921,-0.013247405,-0.181765378
-0.026092704,-0.015755721,0.006598417,-0.015016522,-0.003002917,-0.089425094
-0.024359311,-0.014705869,-0.010086385,-0.002664898,-0.005315379,0.012210896
-0.028364545,-0.027129959,-0.010532122,-0.021065057,-0.022443955,-0.028747407
-7.57774E-05,0.030363527,0.017768929,0.002792957,0.004373222,0.001057107
-0.006979886,-0.001938736,-0.003121491,-0.002278773,0.002902713,-0.012143688
0.000144737,-0.022532976,-0.019876888,-0.015860932,-0.017727909,-0.004275784
-0.030292984,-0.006279816,-0.007681381,0.006962364,-0.014548848,0.012077316
0.02772547,0.00199984,0.00817479,0.00416139,0.012894832,-0.003182152
0.019893864,0.018840816,0.014835568,0.001083826,0.012915129,-0.007448757
0.009138094,-0.010186515,-0.008159624,-0.006368615,-0.005828802,0.00455637
-0.016576669,-0.003601978,-0.000684203,-0.007050417,-0.013008384,0.00640346
-0.013694592,0.001152062,0.008745888,0.012651735,0.001485034,-0.010339326
0.005670263,0.02333144,0.021937768,0.037353394,0.017979633,-0.006161354
-0.00856526,-0.001395833,-0.011480603,-0.01167512,-0.004916264,0.00485176
-0.01027321,0.011027399,0.000839849,0.005719959,0.000365988,0.00590132
0.016937933,-0.000921692,-0.003532407,-0.003090999,0.004755763,-0.019200033
0.003513007,-7.69568E-05,-0.001688291,-0.000992115,0.005825619,-0.002718828
0.023472871,0.010226064,0.009973953,-0.000869022,0.007782783,-0.002181075
0.001131587,0.008752522,-0.000334085,0.000745496,-0.004130725,-0.002459021
-0.001591659,-0.022031072,-0.01665815,-0.014961532,-0.013164992,-0.002738934
0.013084731,0.018708557,0.011150567,0.015314854,0.012975101,0.011535347
-0.005432868,-0.002006887,0.01987461,-0.005028012,-0.000180364,-0.004344384
-0.001322323,-0.011382607,0.013209948,-0.011915831,-0.016059228,-0.001090731
0.005046279,0.00195736,0.019554587,0.013890623,0.007152071,-0.006278994
-0.017220459,-0.004404925,-0.008951683,0.001930487,0.008739963,0.016483474
0.001895828,0.001231059,0.000160953,0.024799587,0.002346548,-0.007837863
-0.00961588,-0.00584072,0.007743666,-0.004730706,-0.006482938,0.00789978
0.003417758,-0.005488611,0.011840041,0.001096847,-0.003987696,-0.014594619
-0.028055712,-0.006607003,-0.037640822,-0.01789629,-0.010919017,-0.01590779
0.005765104,-0.002973434,-0.007231427,0,-0.002391882,-0.000836193
0.013462375,0.011458223,0.000995114,0.01847038,0.019181046,-0.000278893
0.017596183,-0.002250221,-0.000330051,-0.004016575,-0.004704987,0.001674145
-0.02049812,-0.011042835,-0.007114183,-0.003666174,-0.004545455,-0.03426193
-0.001142767,-0.001965872,-0.000332526,-0.010057644,-0.008219178,0.004326551
-0.005033928,0.005357708,0.008664404,0.004336495,0.003499124,-0.003733517
0.006769652,-0.002351061,0.000498562,0.009005716,0.003119749,-0.000864767
0.004644666,0.004556121,0.002311269,0.013632447,0.017563185,0.034622065
0.008423149,-0.010009374,0.007908189,-0.004764449,0.002337267,-0.008644768
0.002957039,0.0079779,0.009481438,0.027026975,0.00394621,-0.0050633
0.030878553,-0.004545113,0.002916594,0.037054513,0.006610706,-0.005654531
-0.009660358,0.008501943,-0.005167879,0.011151609,-0.008519788,0
-0.003583939,-0.004761538,-0.000242958,-0.009903188,-0.00107407,0.002559004
0.002601097,-0.005882353,-0.009091985,0.000340973,-0.008781406,-0.029778766
-0.019495622,-0.017514803,-0.027280901,-0.025110772,-0.021334276,0.058754814
0.001126589,0.007187058,0.014655384,-0.000407968,-0.002401603,-0.022639417
0.020433868,0.009368112,0.00306854,0.013350484,0.006111089,0.009039539
-0.0100819,-0.001263792,0.023584929,0.004314808,0.007362415,-0.008118726
0.006832304,-0.003479931,-0.001536574,0.003036024,-0.00310618,0.002540224
0.006806243,-0.002460298,0.003643521,-0.003769295,0.008064561,-0.021396456
-0.010120182,-0.024822999,-0.015974099,-0.018000455,-0.015090887,-0.011507415
-0.0074914,-0.020396508,0.012789615,0.002685297,0.005538121,0.041327071
0.014957347,0.026734397,0.00971627,0.024103397,0.020928884,0.026271729
0.007224378,0.019305685,0.017634157,0.024445726,0.028052576,-0.028867139
0.041501971,-0.000397923,0.001890419,-0.004661467,0.021864614,0.012338716
0.021019277,0.009632984,-0.002357639,0.000892081,-0.000342369,-0.011911366
-0.002126389,0.013325933,0.033890735,0.012143453,0.030479431,0.003924957
0.018702906,0.008637465,0.010671808,0.045349508,0.162512446,0.022898622
0.033909874,0.018901499,0.02401434,0.03095717,-0.009719823,-0.014742039
0.012868935,-0.009994755,0.001050077,0.004902418,0.00375294,0.002770808
-0.015860172,-0.042294446,-0.005244742,-0.013720891,-0.000431477,-0.021276609
